AP0000000005,(웹 디자이너 꿈은 이루어진다)드림위버 MX 길라잡이(드림위버 MX 길라잡이),신미영 저,정보문화사,,004.575-신38ㄷ-,[대산]자료실,비치자료
AP0000000008,(누구나 할수 있는)30분 집수리(30분 집수리),철천지 기술지원팀 지음,이비컴,,595.4-철83ㅅ-,[대산]자료실,비치자료
AP0000000009,(드림팀 이상인의)짬짬 체조(이상인의 짬짬체조 동영상 VCD),이상인 지음,영진닷컴,,693.4-이52ㄷ-,[대산]자료실,비치자료
AP0000000012,뉴욕 청춘남녀들이 밥 먹듯이 쓰는 영어(뉴욕 청춘남녀들이 밥먹듯이 쓰는 영어),성호경 지음,국제어학연구소,,747-성95ㄴ-,[대산]자료실,비치자료
AP0000000013,(리양의)크레이지 영어 1.3.5학습법(리양의 크레이지영어 1.3.5학습법(part3훈련테이프)),리양 저,넥서스,,747-리63ㅋ-,[대산]자료실,비치자료
AP0000000016,(들으면 말이 되는)이보영의 120분 영어회화((들으면 말이 되는)이보영의 120분 영어회화),이보영 지음,넥서스,,747-이45ㅇ-,[대산]자료실,비치자료
AP0000000020,(체험)영어 25시(체험 영어 25시),펀글리시 지음 ; 이우일 그림,다락원,,747.5-펀17ㅊ-,[대산]자료실,비치자료
AP0000000022,(들으면서 따라하는)이보영의 120분 영어 발음.청취((들으면서 따라하는)이보영의 120분 영어 발음.청취),이보영 지음,넥서스,,747-이45ㅇ-,[대산]자료실,비치자료
AP0000000025,(들으면 말이 되는)이보영의 120분 영어회화((들으면 말이 되는)이보영의 120분 영어회화),이보영 지음,넥서스,,747-이45ㅇ-,[대산]자료실,비치자료
AP0000000028,(들으면서 정리하는)이보영의 120분 영문법((들으면서 정리하는)이보영의 120분 영문법),이보영 지음,넥서스,,747-이45ㅇ-,[대산]자료실,비치자료
